"","Sample","Core","Date_bp_mean","Date_CE_mean","year","d13C.GAM.fit","d13C.GAM.fit.se","d13C.GAM.fit.uppCI","d13C.GAM.fit.lwrCI","d13C.100yrspline","year","d18O.GAM.fit","d18O.GAM.fit.se","d18O.GAM.fit.uppCI","d18O.GAM.fit.lwrCI","d18O.100yrspline","year","SeaIceIndex.GAM.fit","SeaIceIndex.GAM.fit.se","SeaIceIndex.GAM.fit.uppCI","SeaIceIndex.GAM.fit.lwrCI","SeaIceIndex.100yrspline","yearCE","yearBP","MD99-2275sstAlkenone.GAM.fit","MD99-2275sstAlkenone.GAM.fit.se","MD99-2275sstAlkenone.GAM.fit.uppCI","MD99-2275sstAlkenone.GAM.fit.lwrCI","MD99-2275sstAlkenone.100yrspline","yearCE","yearBP","MD99-2275sstDiatom.GAM.fit","MD99-2275sstDiatom.GAM.fit.se","MD99-2275sstDiatom.GAM.fit.uppCI","MD99-2275sstDiatom.GAM.fit.lwrCI","MD99-2275sstDiatom.100yrspline"
"128","PC019-165","PC019",927,1023,1023,2.03550748347618,0.0444653221709477,2.12265951493123,1.94835545202112,2.04512043099936,1023,3.48369753156586,0.0408141116587417,3.56369319041699,3.40370187271472,3.43973484085474,NA,NA,NA,NA,NA,NA,1023,927,8.95731517423717,0.140380555798852,9.23246106360292,8.68216928487142,8.47895977378559,1023,927,7.46225481626253,0.0607794832034497,7.58138260334129,7.34312702918377,7.45985054268354
"129","PC019-167","PC019",937,1013,1013,2.15060538027289,0.0449116874080444,2.23863228759265,2.06257847295312,2.1258945476307,1013,3.49576695913928,0.0411072438611758,3.57633715710719,3.41519676117138,3.44985257550943,NA,NA,NA,NA,NA,NA,1013,937,8.90325772661773,0.141137857561333,9.17988792743794,8.62662752579751,8.47134989933802,1013,937,7.46947404867235,0.0611711736130987,7.58936954895402,7.34957854839068,7.46440395128276
"130","PC019-169","PC019",947,1003,1003,2.22446679624192,0.0441217826997076,2.31094549033334,2.13798810215049,2.1805682409665,1003,3.46362529047116,0.0405790434846768,3.54316021570113,3.38409036524119,3.45653737185501,NA,NA,NA,NA,NA,NA,1003,947,8.83720763990198,0.141354233175719,9.11426193692638,8.56015334287757,8.46270814311862,1003,947,7.47653958497602,0.0615694785370718,7.59721576290868,7.35586340704336,7.46880625700057
"131","PC019-171","PC019",957,993,993,2.25013135451075,0.0453696798977108,2.33905592711026,2.16120678191123,2.19758825817142,993,3.44803546458375,0.0414399348897095,3.52925773696758,3.36681319219992,3.46883258238226,NA,NA,NA,NA,NA,NA,993,957,8.76091213706691,0.140981913128022,9.03723668679784,8.48458758733599,8.45334297802296,993,957,7.48345833317547,0.0619738441870636,7.60492706778212,7.36198959856883,7.47309154844444
"132","PC019-173","PC019",966,984,984,2.23488617801003,0.0433757370978368,2.31990262272179,2.14986973329827,2.17182114062781,984,3.4701862056742,0.0402701493836317,3.54911569846612,3.39125671288228,3.4836991793674,NA,NA,NA,NA,NA,NA,984,966,8.68549381942329,0.140313365115151,8.96050801504899,8.4104796237976,8.44427746271791,984,966,7.48956587145914,0.0623418952944143,7.61175598623619,7.36737575668209,7.47703962603581
"133","PC019-175","PC019",976,974,974,2.14893271570481,0.0473927042467094,2.24182241602836,2.05604301538126,2.0988232413761,974,3.50855214156456,0.0431522557678177,3.59313056286949,3.42397372025964,3.49843201125967,NA,NA,NA,NA,NA,NA,974,976,8.59689374901297,0.139538560148239,8.87038932690351,8.32339817112242,8.43406505378879,974,976,7.49622648802303,0.0627527421383928,7.61922186261428,7.37323111343178,7.4815786384734
"134","PC019-177","PC019",986,964,964,1.96523095516742,0.0446018122798523,2.05265050723593,1.87781140309891,1.99546564056414,964,3.52526742243047,0.0418437215993538,3.6072811167652,3.44325372809573,3.51330819858713,NA,NA,NA,NA,NA,NA,964,986,8.50636700546043,0.139086905764382,8.77897734075862,8.23375667016224,8.42389239526939,964,986,7.50276242843464,0.0631625930259522,7.62656111076551,7.37896374610377,7.48615662685082
"135","PC019-179","PC019",996,954,954,1.71790397685286,0.0805748671376201,1.8758307164426,1.55997723726313,1.87676392040463,954,3.5193396509957,0.0742572877095301,3.66488393490638,3.37379536708502,3.53269497289828,NA,NA,NA,NA,NA,NA,954,996,8.41723013377127,0.139144677522236,8.68995370171485,8.14450656582769,8.4135065862514,954,996,7.50918135737304,0.0635693334091984,7.63377725085507,7.38458546389101,7.4907901527687
"136","PC019-181","PC019",1005,945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,945,1005,8.34083443149624,0.13961040582371,8.61447082691071,8.06719803608177,8.40403782432949,945,1005,7.51486446601429,0.0639324296738382,7.64017202817502,7.38955690385357,7.49476203696391
"137","PC019-183","PC019",1015,935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935,1015,8.2628529826841,0.140397564598905,8.53803220929795,7.98767375607025,8.39319588578974,935,1015,7.52108131050011,0.0643323482360609,7.64717271304279,7.39498990795743,7.4988102545585
"138","PC019-185","PC019",1025,925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,1025,8.19444917489611,0.141171691651721,8.47114569053349,7.91775265925874,8.38232803875594,925,1025,7.5272017144481,0.0647297684182392,7.65407206054785,7.40033136834835,7.50253388797755
