"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.PC019-454_1_5-1.S",172063,169634,164326,161631
"EUK.PC019-454_2_5-2.S",86473,85470,93311,91899
"EUK.PC019-454_3_5-3.S",168559,165514,202854,198435
"EUK.PC019-454_4_5-4.S",78303,77060,78110,76660
"EUK.PC019-454_5_5-5.S",100386,98803,99719,98000
"EUK.PC019-454_6_5-6.S",134205,131863,142227,139446
"EUK.PC019-454_7_5-7.S",203349,200330,192623,189239
"EUK.PC019-454_8_5-8.S",270638,265799,274455,269414
"EUK.PC019-455_1_5-1.S",108972,106497,120465,117695
"EUK.PC019-455_2_5-2.S",72003,70728,83220,81631
"EUK.PC019-455_3_5-3.S",116198,113803,120008,117780
"EUK.PC019-455_4_5-4.S",132914,130964,138389,136121
"EUK.PC019-455_5_5-5.S",82018,80474,91246,89657
"EUK.PC019-455_6_5-6.S",91600,89838,101119,99101
"EUK.PC019-455_7_5-7.S",145553,142880,179570,176188
