"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.IS-GC1-104-8-1.8.S",73499,69305,70716,67243
"EUK.IS-GC1-108-1-3.1.S",72828,70682,72801,70647
"EUK.IS-GC1-108-2-3.2.S",22065,20463,23381,21959
"EUK.IS-GC1-108-3-3.3.S",49185,47644,59269,57548
"EUK.IS-GC1-108-4-3.4.S",74509,72348,85337,83222
"EUK.IS-GC1-108-5-3.5.S",166593,163595,190619,186970
"EUK.IS-GC1-108-6-3.6.S",46631,44742,50379,48560
"EUK.IS-GC1-108-7-3.7.S",24694,23466,30838,29621
"EUK.IS-GC1-108-8-3.8.S",67845,65821,66959,64868
"EUK.IS-GC1-112-1-1.1.S",92282,90064,98917,96582
"EUK.IS-GC1-112-2-1.2.S",94905,92667,105504,103320
"EUK.IS-GC1-112-3-1.3.S",96462,93143,102339,98890
"EUK.IS-GC1-112-4-1.4.S",75689,74081,89151,87258
"EUK.IS-GC1-112-5-1.5.S",112631,109318,111837,108827
"EUK.IS-GC1-112-6-1.6.S",40729,39798,42794,41715
"EUK.IS-GC1-112-7-1.7.S",69569,67587,76902,74983
"EUK.IS-GC1-112-8-1.8.S",22730,22125,21946,21326
"EUK.IS-GC1-116-1-3.1.S",113911,112076,107177,105429
"EUK.IS-GC1-116-2-3.2.S",16787,16468,18840,18474
"EUK.IS-GC1-116-3-3.3.S",97341,95673,122025,119864
"EUK.IS-GC1-116-4-3.4.S",79338,77743,76861,75209
"EUK.IS-GC1-116-5-3.5.S",130197,128836,148397,146718
"EUK.IS-GC1-116-6-3.6.S",212288,208839,223983,220388
"EUK.IS-GC1-116-7-3.7.S",22359,21890,22325,21865
"EUK.IS-GC1-116-8-3.8.S",156203,153435,178035,174877
"EUK.IS-GC1-120-1-1.1.S",89563,86938,87677,85251
"EUK.IS-GC1-120-2-1.2.S",86313,83769,100448,97833
"EUK.IS-GC1-120-3-1.3.S",46813,45627,52980,51651
"EUK.IS-GC1-120-4-1.4.S",70776,68572,77220,74878
"EUK.IS-GC1-120-5-1.5.S",118309,114664,122927,119687
"EUK.IS-GC1-120-6-1.6.S",6303,6083,6681,6450
"EUK.IS-GC1-120-7-1.7.S",73423,71368,74846,72993
"EUK.IS-GC1-120-8-1.8.S",52027,50914,59869,58434
"EUK.IS-GC1-124-1-3.1.S",51377,49675,52544,51038
"EUK.IS-GC1-124-2-3.2.S",19297,17677,19521,18096
"EUK.IS-GC1-124-3-3.3.S",25657,24597,36042,34858
"EUK.IS-GC1-124-4-3.4.S",57512,55911,62549,60895
"EUK.IS-GC1-124-5-3.5.S",68029,66384,73125,71440
"EUK.IS-GC1-124-6-3.6.S",92775,90507,94800,92757
"EUK.IS-GC1-124-7-3.7.S",8416,7891,9219,8755
"EUK.IS-GC1-124-8-3.8.S",85053,81937,87698,84649
"EUK.IS-GC1-128-1-1.1.S",69485,66778,70769,68445
"EUK.IS-GC1-128-2-1.2.S",139304,135696,148799,145334
"EUK.IS-GC1-128-3-1.3.S",64316,62846,62224,60793
"EUK.IS-GC1-128-4-1.4.S",37235,35913,42029,40760
"EUK.IS-GC1-128-5-1.5.S",87559,85423,97815,95862
"EUK.IS-GC1-128-6-1.6.S",13125,12256,13186,12420
"EUK.IS-GC1-128-7-1.7.S",40935,39801,41152,40028
"EUK.IS-GC1-128-8-1.8.S",87536,84746,89027,86161
"EUK.IS-GC1-132-1-3.1.S",34541,33502,37200,36251
"EUK.IS-GC1-132-2-3.2.S",12065,11466,12014,11488
"EUK.IS-GC1-132-3-3.3.S",61526,59489,73410,71342
"EUK.IS-GC1-132-4-3.4.S",59753,58077,63115,61464
"EUK.IS-GC1-132-5-3.5.S",40775,39458,44118,42873
"EUK.IS-GC1-132-6-3.6.S",47931,46581,45094,43900
"EUK.IS-GC1-132-7-3.7.S",7810,7426,8070,7704
"EUK.IS-GC1-132-8-3.8.S",43072,41885,42563,41422
"EUK.IS-GC1-136-1-1.1.S",61199,59066,59672,57656
"EUK.IS-GC1-136-2-1.2.S",160859,157231,154395,151085
"EUK.IS-GC1-136-3-1.3.S",107376,104487,111208,108345
"EUK.IS-GC1-136-4-1.4.S",44479,43021,49995,48501
"EUK.IS-GC1-136-5-1.5.S",102076,99140,99196,96441
"EUK.IS-GC1-136-6-1.6.S",20277,19590,24310,23533
"EUK.IS-GC1-136-7-1.7.S",117303,113479,121989,118478
"EUK.IS-GC1-136-8-1.8.S",64637,62731,62606,60920
"EUK.IS-GC1-140-1-3.1.S",69248,67525,71488,69784
"EUK.IS-GC1-140-2-3.2.S",14273,13842,15847,15315
"EUK.IS-GC1-140-3-3.3.S",60647,59120,77408,75566
"EUK.IS-GC1-140-4-3.4.S",84937,83262,93140,91229
"EUK.IS-GC1-140-5-3.5.S",80311,78204,93289,91025
"EUK.IS-GC1-140-6-3.6.S",46009,44818,50314,48966
"EUK.IS-GC1-140-7-3.7.S",21508,20887,25003,24406
"EUK.IS-GC1-140-8-3.8.S",203089,198430,223603,218009
"EUK.IS-GC1-144-1-1.1.S",52439,50460,54035,52347
"EUK.IS-GC1-144-2-1.2.S",210740,205425,239547,234136
"EUK.IS-GC1-144-3-1.3.S",59602,58189,69907,68167
"EUK.IS-GC1-144-4-1.4.S",70949,69042,70552,68851
"EUK.IS-GC1-144-5-1.5.S",110921,107823,114834,111857
"EUK.IS-GC1-144-6-1.6.S",45878,44221,45564,44068
"EUK.IS-GC1-144-7-1.7.S",105089,102499,113602,110952
"EUK.IS-GC1-144-8-1.8.S",74550,72818,82036,80087
"EUK.IS-GC1-148-1-3.1.S",100151,97988,102361,100441
"EUK.IS-GC1-148-2-3.2.S",13721,12731,13373,12525
"EUK.IS-GC1-148-3-3.3.S",50098,48400,56903,55137
"EUK.IS-GC1-148-4-3.4.S",91836,89366,101836,98956
"EUK.IS-GC1-148-5-3.5.S",93952,91960,91058,89300
"EUK.IS-GC1-148-6-3.6.S",67063,64784,68727,66564
"EUK.IS-GC1-148-7-3.7.S",20902,19683,21494,20346
"EUK.IS-GC1-148-8-3.8.S",72991,70636,70383,68125
"EUK.IS-GC1-152-1-1.1.S",70434,68612,68630,67046
"EUK.IS-GC1-152-2-1.2.S",66777,65428,77182,75934
"EUK.IS-GC1-152-3-1.3.S",14438,13949,15333,14815
"EUK.IS-GC1-152-4-1.4.S",58140,56122,61146,59085
"EUK.IS-GC1-152-5-1.5.S",87406,85096,96131,93870
"EUK.IS-GC1-152-6-1.6.S",15345,14851,16969,16392
"EUK.IS-GC1-152-7-1.7.S",54670,52930,55972,54291
"EUK.IS-GC1-152-8-1.8.S",55841,53870,57708,55669
"EUK.IS-GC1-156-1-3.1.S",66795,64042,70601,68259
"EUK.IS-GC1-156-2-3.2.S",20731,19076,18697,17390
"EUK.IS-GC1-156-3-3.3.S",27846,26793,37734,36527
"EUK.IS-GC1-156-4-3.4.S",20454,19783,19459,18918
"EUK.IS-GC1-156-5-3.5.S",98164,95754,104018,101628
"EUK.IS-GC1-156-6-3.6.S",32063,31072,30441,29533
"EUK.IS-GC1-156-7-3.7.S",9376,8863,10867,10363
"EUK.IS-GC1-156-8-3.8.S",53922,51916,56569,54676
"EUK.IS-GC1-160-1-1.1.S",96776,93388,107305,104080
"EUK.IS-GC1-160-2-1.2.S",181454,177875,170282,166703
"EUK.IS-GC1-160-3-1.3.S",98680,95572,106676,104024
"EUK.IS-GC1-160-4-1.4.S",79009,76215,78319,75661
"EUK.IS-GC1-160-5-1.5.S",24847,23890,27363,26538
"EUK.IS-GC1-160-6-1.6.S",22004,20888,22248,21166
"EUK.IS-GC1-160-7-1.7.S",60588,58339,60617,58539
"EUK.IS-GC1-160-8-1.8.S",56237,54333,65068,63076
"EUK.IS-GC1-164-1-3.1.S",77845,75160,86397,83765
"EUK.IS-GC1-164-2-3.2.S",24322,23061,22061,21017
"EUK.IS-GC1-164-3-3.3.S",55411,53185,60322,58138
"EUK.IS-GC1-164-4-3.4.S",41620,40295,44504,43282
"EUK.IS-GC1-164-5-3.5.S",66792,64851,79130,77168
"EUK.IS-GC1-164-6-3.6.S",81263,78315,77771,75184
"EUK.IS-GC1-164-7-3.7.S",5774,5316,6886,6443
"EUK.IS-GC1-164-8-3.8.S",80345,77600,91811,88965
"EUK.IS-GC1-168-1-1.1.S",105227,100663,102006,97971
"EUK.IS-GC1-168-2-1.2.S",124827,120635,124523,120734
"EUK.IS-GC1-168-3-1.3.S",61170,58620,67157,64703
"EUK.IS-GC1-168-4-1.4.S",70518,66889,81725,78150
"EUK.IS-GC1-168-5-1.5.S",178529,173378,206084,200595
"EUK.IS-GC1-168-6-1.6.S",14512,13606,14724,13978
"EUK.IS-GC1-168-7-1.7.S",118870,115035,135140,131409
"EUK.IS-GC1-168-8-1.8.S",85811,82373,84457,81266
"EUK.IS-GC1-172-1-3.1.S",43756,42390,49412,48049
"EUK.IS-GC1-172-2-3.2.S",8912,8184,8900,8323
"EUK.IS-GC1-172-3-3.3.S",42601,41348,53537,51930
"EUK.IS-GC1-172-4-3.4.S",56375,54397,60217,58525
"EUK.IS-GC1-172-5-3.5.S",97021,93230,96756,93318
"EUK.IS-GC1-172-6-3.6.S",76213,73056,80095,77069
"EUK.IS-GC1-172-7-3.7.S",13582,12377,15175,14056
"EUK.IS-GC1-172-8-3.8.S",99359,96650,94582,92142
"EUK.IS-GC1-176-1-1.1.S",72039,69329,69859,67550
"EUK.IS-GC1-176-2-1.2.S",117903,115902,129593,127447
"EUK.IS-GC1-176-3-1.3.S",86841,84250,96629,94245
"EUK.IS-GC1-176-4-1.4.S",51607,49932,51745,49959
"EUK.IS-GC1-176-5-1.5.S",107342,104774,122878,120134
"EUK.IS-GC1-176-6-1.6.S",21911,21172,21508,20802
"EUK.IS-GC1-176-7-1.7.S",144379,139507,145833,141250
"EUK.IS-GC1-176-8-1.8.S",52552,51099,59741,58323
